"id"	"referencia"	"nome"	"descricao"	"fornecedor_id"	"custo_unitario"	"preco_venda"	"quantidade_stock"	"nivel_stock_minimo"	"nivel_stock_maximo"	"localizacao"	"veiculos_compativeis"	"ativo"	"notas"	"margem_lucro"	"criado_em"	"atualizado_em"	"criado_por"	"categoria_id"
"59"	"64193"	"LÂMPADA H4"	\N	\N	"6,46"	"6,46"	"11"	"0"	\N	\N	\N	"1"	"LÂMPADA H4. Principais aplicações: Marcas e modelos diversos."	"0,00"	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"6"
"58"	"2557100000"	"LÂMPADA H7"	\N	\N	"6,46"	"6,46"	"9"	"0"	\N	\N	\N	"1"	"LÂMPADA H7. Principais aplicações: Marcas e modelos diversos."	"0,00"	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"6"
"55"	"7528"	"LÂMPADA PISCA"	\N	\N	"2,00"	"2,00"	"9"	"0"	\N	\N	\N	"1"	"LÂMPADA PISCA. Principais aplicações: Marcas e modelos diversos."	"0,00"	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"6"
"56"	"368.299"	"LÂMPADA PISCA"	\N	\N	"0,80"	"0,80"	"12"	"0"	\N	\N	\N	"1"	"LÂMPADA PISCA. Principais aplicações: Marcas e modelos diversos."	"0,00"	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"6"
"57"	"7506"	"LÂMPADA PISCA"	\N	\N	"0,80"	"0,80"	"10"	"0"	\N	\N	\N	"1"	"LÂMPADA PISCA. Principais aplicações: Marcas e modelos diversos."	"0,00"	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"6"
"54"	"64136"	"LÂMPADA PISCA"	\N	\N	"6,00"	"6,00"	"6"	"0"	\N	\N	\N	"1"	"LÂMPADA PISCA. Principais aplicações: Marcas e modelos diversos."	"0,00"	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"6"
"7"	"FMK425"	"MAXILAS"	\N	\N	"46,00"	"46,00"	"2"	"0"	\N	\N	\N	"1"	"MAXILAS. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"5"
"24"	"75W80"	"ÓLEO 5L"	\N	\N	"12,00"	"12,00"	"1"	"0"	\N	\N	\N	"1"	"ÓLEO 5L. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"15"
"23"	"5W30 ELF"	"ÓLEO 5L"	\N	\N	"36,80"	"36,80"	"10"	"0"	\N	\N	\N	"1"	"ÓLEO 5L. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"15"
"22"	"5W30 PETRONAS"	"ÓLEO 5L"	\N	\N	"34,00"	"34,00"	"4"	"0"	\N	\N	\N	"1"	"ÓLEO 5L. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"15"
"8"	"DBP1217"	"PASTILHAS F"	\N	\N	"19,50"	"19,50"	"3"	"0"	\N	\N	\N	"1"	"PASTILHAS F. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"5"
"9"	"PA-013AF"	"PASTILHAS F"	\N	\N	"13,10"	"13,10"	"4"	"0"	\N	\N	\N	"1"	"PASTILHAS F. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"5"
"13"	"PA-0722AF"	"PASTILHAS F"	\N	\N	"15,00"	"15,00"	"3"	"0"	\N	\N	\N	"1"	"PASTILHAS F. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"5"
"12"	"P14403.00"	"PASTILHAS F"	\N	\N	"15,00"	"15,00"	"1"	"0"	\N	\N	\N	"1"	"PASTILHAS F. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"5"
"11"	"2570201"	"PASTILHAS F"	\N	\N	"18,00"	"18,00"	"1"	"0"	\N	\N	\N	"1"	"PASTILHAS F. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"5"
"10"	"P14603"	"PASTILHAS F"	\N	\N	"20,70"	"20,70"	"2"	"0"	\N	\N	\N	"1"	"PASTILHAS F. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"5"
"14"	"2355406"	"PASTILHAS T"	\N	\N	"20,00"	"20,00"	"1"	"0"	\N	\N	\N	"1"	"PASTILHAS T. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"5"
"15"	"CBP06092"	"PASTILHAS T"	\N	\N	"25,00"	"25,00"	"1"	"0"	\N	\N	\N	"1"	"PASTILHAS T. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"5"
"20"	"20036702B"	"RETENTOR CAMBOTA"	\N	\N	"9,70"	"9,70"	"1"	"0"	\N	\N	\N	"1"	"RETENTOR CAMBOTA. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"4"
"18"	"OS5310"	"RETENTOR RODA"	\N	\N	"5,70"	"5,70"	"1"	"0"	\N	\N	\N	"1"	"RETENTOR RODA. Principais aplicações: Marcas e modelos diversos."	"0,00"	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"3"
"17"	"OS9341"	"RETENTOR RODA"	\N	\N	"13,00"	"13,00"	"1"	"0"	\N	\N	\N	"1"	"RETENTOR RODA. Principais aplicações: Marcas e modelos diversos."	"0,00"	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"3"
"16"	"RE-WB-11476"	"ROLAMENTO RODA"	\N	\N	"16,00"	"16,00"	"2"	"0"	\N	\N	\N	"1"	"ROLAMENTO RODA. Principais aplicações: Marcas e modelos diversos."	"0,00"	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"16"
"52"	"91121"	"VELA DE IGNIÇÃO"	\N	\N	"12,00"	"12,00"	"2"	"0"	\N	\N	\N	"1"	"VELA DE IGNIÇÃO. Principais aplicações: Marcas e modelos diversos."	"0,00"	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"14"
"53"	"ZKR7A-0"	"VELA DE IGNIÇÃO"	\N	\N	"9,00"	"9,00"	"4"	"0"	\N	\N	\N	"1"	"VELA DE IGNIÇÃO. Principais aplicações: Marcas e modelos diversos."	"0,00"	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"14"
